,user,topics,cnt
1039,andy_fitze,40,115
1040,andy_fitze,42,3
1041,andy_fitze,43,2
1042,andy_fitze,44,2
1043,andy_fitze,45,2
1044,andy_fitze,46,3
1045,andy_fitze,47,1
1046,andy_fitze,48,20
1047,andy_fitze,49,1
1048,andy_fitze,53,17
1049,andy_fitze,54,190
1050,andy_fitze,57,3
1051,andy_fitze,58,10
1052,andy_fitze,59,4
1053,andy_fitze,61,1
1054,andy_fitze,62,4
1055,andy_fitze,63,9
1056,andy_fitze,64,3
1057,andy_fitze,66,1
1058,andy_fitze,67,1
1059,andy_fitze,68,16
1060,andy_fitze,70,6
1061,andy_fitze,72,1
1062,andy_fitze,73,10
1063,andy_fitze,77,16
1064,andy_fitze,78,7
1065,andy_fitze,80,2
1066,andy_fitze,81,4
1067,andy_fitze,84,1
1068,andy_fitze,85,2
1069,andy_fitze,87,1
1070,andy_fitze,88,1
1071,andy_fitze,91,1
1072,andy_fitze,92,3
1073,andy_fitze,93,2
1074,andy_fitze,94,3
1075,andy_fitze,95,1
1076,andy_fitze,96,4
1077,annettefranz,0,1
1078,annettefranz,1,9
1079,annettefranz,2,1
1080,annettefranz,3,32
1081,annettefranz,4,9
1082,annettefranz,5,1
1083,annettefranz,6,1
1084,annettefranz,7,99
1085,annettefranz,8,305
1086,annettefranz,9,29
1087,annettefranz,10,36
1088,annettefranz,11,20
1089,annettefranz,12,7
1090,annettefranz,13,32
1091,annettefranz,14,3
1092,annettefranz,16,13
1093,annettefranz,17,5
1094,annettefranz,18,5
1095,annettefranz,20,15
1096,annettefranz,22,1
1097,annettefranz,24,461
1098,annettefranz,25,74
1099,annettefranz,26,86
1100,annettefranz,27,3
1101,annettefranz,28,5
1102,annettefranz,29,17
1103,annettefranz,30,1
1104,annettefranz,31,1538
1105,annettefranz,32,5
1106,annettefranz,33,5
